SQL CPU,Web Worker CPU,SQL Memory,Web Worker Memory,# SQL Containers,# Web Worker Containers,Delta Requests,# Requests,Iteration,Minutes,Seconds
0.06974918367346938,0.21320343434343436,16.08618043051156,6.448787404158253,1,4,0,280,0,0.0,0.0
2.6285881413372367,19.633162477688668,16.08273536099641,7.544446391581237,1,2,290,570,1,0.0,10.153033018112183
1.9545384114059354,14.894597392395216,16.082939447130343,8.049973437039725,1,1,-179,391,2,0.0,20.296334266662598
1.9304215075940443,14.716220298482055,16.082963232573448,8.049451184592156,1,1,-4,387,3,0.0,30.363362312316895
1.9907137671237722,15.162163033264958,16.082903768965686,8.050756815711075,1,1,10,397,4,0.0,40.414575815200806
2.0088014449826908,15.295945853699829,16.082885929883357,8.05114850504675,1,1,3,400,5,0.0,50.474321365356445
1.8641000221113437,14.22568329022086,16.083028642541986,8.048014990361343,1,1,-24,376,6,1.0,0.4961268901824951
1.9002753778291805,14.493248931090603,16.08299296437733,8.048798369032696,1,1,6,382,7,1.0,10.582310914993286
1.8942461518762077,14.448654657612312,16.082998910738105,8.048667805920804,1,1,-1,381,8,1.0,20.670931816101074
1.903258527465505,27.963610001011023,16.172545126434883,6.697532183339829,1,1,-11,370,9,1.0,34.57381248474121
2.6209270128494233,30.050893689791128,16.169237096743263,6.422939639906436,1,1,159,529,10,1.0,44.64634442329407
1.989017654649747,28.213033838035063,16.172149827289342,6.664719237898103,1,1,-140,389,11,1.0,54.69783663749695
1.9393676336483436,28.068630563968515,16.17237868468939,6.6837162063117335,1,1,-11,378,12,2.0,4.738497734069824
1.9529085484669082,28.108013275077575,16.172316269034834,6.678535214926198,1,1,3,381,13,2.0,14.777333498001099
1.984504016376892,28.199906267665376,16.17217063250753,6.666446235026615,1,1,7,388,14,2.0,24.841460704803467
1.9574221867397632,28.12114084544726,16.17229546381665,6.676808217797686,1,1,-6,382,15,2.0,34.91092562675476
1.9303403571026343,28.042375423229146,16.172420295125768,6.687170200568757,1,1,-6,376,16,2.0,44.96919822692871
1.9845040163768923,28.19990626766538,16.172170632507534,6.666446235026615,1,1,12,388,17,2.0,55.05235695838928
1.2245965665392164,18.98871339692847,18.718454100391945,9.300201212955367,1,1,12,400,18,3.0,9.25591492652893
1.8017454984348515,19.53389574372261,18.71749512992414,9.054774710762974,1,1,147,547,19,3.0,19.315973043441772
1.1931871008578214,18.95904360934784,18.71850628926094,9.313557757292367,1,1,-155,392,20,3.0,29.36384654045105
1.6604029028685736,19.40038169960976,18.71772997983462,9.114879160279477,1,1,119,511,21,3.0,39.40444207191467
1.6368458036075273,19.378129358924284,18.717769121486366,9.124896568532227,1,1,-6,505,22,3.0,49.46918320655823
1.6329196203973528,19.374420635476703,18.717775645094992,9.126566136574352,1,1,-1,504,23,3.0,59.50571131706238
1.6721814524990968,19.411507869952494,18.717710409008745,9.109870456153102,1,1,10,514,24,4.0,9.575052976608276
1.6564767196583992,19.39667297616218,18.717736503443245,9.116548728321602,1,1,-4,510,25,4.0,19.65263819694519
1.6721814524990968,19.411507869952494,18.717710409008745,9.109870456153102,1,1,4,514,26,4.0,29.685694456100464
-1.102685139344385,34.84479638570425,7.611265211338486,13.905502927230712,1,1,-5,509,27,4.0,43.94819664955139
-0.420308706161281,33.866564948881255,7.607408396435377,13.52217384453979,1,1,228,737,28,4.0,54.007930278778076
-1.1685284793883688,34.93918713838015,7.611637360144925,13.942490821174573,1,1,-250,487,29,5.0,4.01910662651062
-1.0727563484153015,34.80189149812429,7.611096052790103,13.888690248165322,1,1,32,519,30,5.0,14.098531246185303
-1.1415925675521936,34.90057273955819,7.611485117451381,13.927359410015722,1,1,-23,496,31,5.0,24.151084899902344
-1.144585446645102,34.90486322831619,7.611502033306219,13.929040677922261,1,1,-1,495,32,5.0,34.2341091632843
-1.1086708975302018,34.85337736322024,7.61129904304816,13.908865463043792,1,1,12,507,33,5.0,44.300222873687744
-1.135606809366377,34.8919917620422,7.611451285741704,13.923996874202645,1,1,-9,498,34,5.0,54.413270473480225
-1.1475783257380103,34.90915371707418,7.611518949161057,13.930721945828802,1,1,-4,494,35,6.0,4.436699867248535
-0.12025861293977262,29.098400540882018,16.986290376786474,7.286667219564032,1,1,-4,490,36,6.0,17.679973125457764
0.48865088317703637,28.785023332572692,16.981538809123258,6.989414340435026,1,1,176,666,37,6.0,27.757317304611206
