SQL CPU,Web Worker CPU,SQL Memory,Web Worker Memory,# SQL Containers,# Web Worker Containers,Delta Requests,# Requests,Iteration,Minutes,Seconds
0.07504928571428572,0.18458183723984645,14.175594970725058,6.151253217509501,1,4,0,306,0,0.0,0.0
3.6522905561750205,12.049872239423719,14.178822685129497,7.135268621824836,1,2,286,592,1,0.0,20.19907546043396
3.5780566312208135,10.861114272791395,14.178369064447523,7.61797747083976,1,1,-68,524,2,0.0,30.41606068611145
4.3726391450436175,13.898679604996055,14.179250927052156,7.62194380630349,1,1,90,614,3,0.0,30.468919277191162
4.381467839641648,13.93243033090944,14.179260725525541,7.621987876697531,1,1,1,615,4,0.0,40.563233613967896
2.7353344401948063,44.49116268113644,14.08823639580236,6.823729025772289,1,1,12,627,5,0.0,54.580437898635864
3.680849184201664,52.05116416114455,14.090780448688976,5.971303937347452,1,3,221,848,6,1.0,14.786232471466064
-0.05643098291805515,23.480376774902297,14.081601306610825,5.223485040590447,1,3,-388,460,7,1.0,14.835101127624512
1.5232441392665683,35.55668896908716,14.085481150169631,5.539573440250624,1,3,164,624,8,1.0,24.91609811782837
1.4847154777498701,35.262144769228996,14.085386519838929,5.531863967088181,1,3,-4,620,9,1.0,34.965391874313354
-2.51233561081974,27.238202161462024,20.79496963815297,3.3056662580034932,1,3,7,627,10,1.0,52.345375776290894
1.2556693374666592,48.73384016359428,20.80458148921667,3.243807365184449,1,4,418,1045,11,2.0,12.528119087219238
-3.2209706195778303,22.732546343663877,20.793082761551776,3.727204282446996,1,2,-548,497,12,2.0,22.731780767440796
-2.2011806397350604,28.395873738441914,20.79565775303928,3.8470973263218156,1,2,96,593,13,2.0,22.794264554977417
-2.1905578274450317,28.454866732137518,20.795684575867273,3.8483462121955117,1,2,1,594,14,2.0,32.85439682006836
-5.816589585678555,38.51801451494525,19.205734498425613,12.183232069977594,1,2,15,609,15,2.0,48.10080289840698
-4.325981291382607,49.675333514348395,19.212548547511552,11.46244480822448,1,4,287,896,16,3.0,8.327574968338013
-8.415778365499287,19.98945735379839,19.192448597351255,11.61000570128134,1,2,-579,317,17,3.0,18.48791813850403
-5.896701568618235,37.9469288490195,19.20532500147469,12.165564133956133,1,2,283,600,18,3.0,18.56602382659912
-5.896701568618235,37.9469288490195,19.20532500147469,12.165564133956133,1,2,0,600,19,3.0,28.657728672027588
11.142915780485074,30.327610033236603,9.778317642884202,3.197997076100219,1,2,10,610,20,3.0,43.856940269470215
